Main_Category_Key,Main_Category_Title,Main_Category_Description,Subcategory_Key,Subcategory_Name
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_repeated_viewing,"Repeated Viewing"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_inappropriate_staring,"Inappropriate Staring"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_indecent_entertainment,"Indecent Entertainment"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_comparison,"Comparison"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_envy,"Envy"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_seeking_provocative_content,"Seeking Provocative Content"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_prayer_distraction,"Prayer Distraction"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_judgmental_viewing,"Judgmental Viewing"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_fantasy,"Fantasy"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_assessing_others,"Assessing Others"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_public_curiosity,"Public Curiosity"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_rationalization,"Rationalization"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_social_media_following,"Social Media Following"
eyes,"Sins of the Eyes","Looking at what is forbidden, inappropriate visual content, and the envy that can develop through sight.",eyes_post_viewing_effects,"Post-Viewing Effects"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_listening_to_backbiting,"Listening to Backbiting"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_enjoying_gossip,"Enjoying Gossip"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_enjoying_mockery,"Enjoying Mockery"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_inappropriate_content,"Inappropriate Content"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_enabling_slander,"Enabling Slander"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_silent_complicity,"Silent Complicity"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_contradictory_content,"Contradictory Content"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_false_flattery,"False Flattery"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_privacy_violation,"Privacy Violation"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_drama_content,"Drama Content"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_eavesdropping,"Eavesdropping"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_conflict_exposure,"Conflict Exposure"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_failure_to_advise,"Failure to Advise"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_pleasure_in_scandal,"Pleasure in Scandal"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_spiritual_impact,"Spiritual Impact"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_ignoring_ridicule,"Ignoring Ridicule"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_tolerating_indecency,"Tolerating Indecency"
ears,"Sins of the Ears","Listening to backbiting, slander, inappropriate content, and other harmful speech.",ears_harmful_social_groups,"Harmful Social Groups"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_intellectual_superiority,"Intellectual Superiority"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_social_superiority,"Social Superiority"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_rejection_of_criticism,"Rejection of Criticism"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_jealousy_of_praise,"Jealousy of Praise"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_seeking_recognition,"Seeking Recognition"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_expecting_acknowledgment,"Expecting Acknowledgment"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_inability_to_admit_error,"Inability to Admit Error"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_difficulty_apologizing,"Difficulty Apologizing"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_expecting_deference,"Expecting Deference"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_sense_of_importance,"Sense of Importance"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_hypocrisy,"Hypocrisy"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_envy_of_excellence,"Envy of Excellence"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_show_off_helping,"Show-off Helping"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_refusing_humble_service,"Refusing Humble Service"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_social_media_validation,"Social Media Validation"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_social_exclusion,"Social Exclusion"
pride,"Pride","Feelings of superiority, arrogance, vanity, and difficulty with humility.",pride_fear_of_vulnerability,"Fear of Vulnerability"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_overeating,"Overeating"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_mindless_eating,"Mindless Eating"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_post_eating_guilt,"Post-Eating Guilt"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_luxury_indulgence,"Luxury Indulgence"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_halal_concerns,"Halal Concerns"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_secret_eating,"Secret Eating"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_impulsive_eating,"Impulsive Eating"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_mindless_snacking,"Mindless Snacking"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_doubtful_consumption,"Doubtful Consumption"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_ramadan_struggles,"Ramadan Struggles"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_food_prioritization,"Food Prioritization"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_emotional_eating,"Emotional Eating"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_indulgent_consumption,"Indulgent Consumption"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_inability_to_refuse,"Inability to Refuse"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_food_waste,"Food Waste"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_ungrateful_eating,"Ungrateful Eating"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_food_as_reward,"Food as Reward"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_suppressing_guilt,"Suppressing Guilt"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_misplaced_priorities,"Misplaced Priorities"
stomach,"Sins of the Stomach","Overeating, consuming what is unlawful, and excessive material appetite.",stomach_forgotten_gratitude,"Forgotten Gratitude"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_suggestive_conversations,"Suggestive Conversations"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_fantasy,"Fantasy"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_sexual_content,"Sexual Content"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_returning_to_temptation,"Returning to Temptation"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_compromising_environments,"Compromising Environments"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_gaze_control,"Gaze Control"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_avoiding_modesty,"Avoiding Modesty"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_alone_time,"Alone Time"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_emotional_attachment,"Emotional Attachment"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_physical_contact,"Physical Contact"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_social_media_temptation,"Social Media Temptation"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_shameful_behaviour,"Shameful Behaviour"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_seeking_interaction,"Seeking Interaction"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_justification,"Justification"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_boundary_erosion,"Boundary Erosion"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_ignoring_warning_signs,"Ignoring Warning Signs"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_guilt_and_continuation,"Guilt and Continuation"
zina,"Zina","Unlawful physical relations and actions that may lead to them.",zina_secrecy,"Secrecy"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_envy,"Envy"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_resentment,"Resentment"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_forgiveness,"Forgiveness"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_show_off,"Show-off"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_religious_pride,"Religious Pride"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_despair,"Despair"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_self_worth,"Self-Worth"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_self_admiration,"Self-Admiration"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_judgment,"Judgment"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_lack_of_compassion,"Lack of Compassion"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_material_pride,"Material Pride"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_misplaced_priorities,"Misplaced Priorities"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_people_pleasing,"People-Pleasing"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_spiritual_envy,"Spiritual Envy"
heart,"Sins of the Heart","Internal spiritual diseases such as envy, malice, hypocrisy, and attachments to the worldly life.",heart_lack_of_self_reflection,"Lack of Self-Reflection"
