Question_ID,Category,Section,English_Text,Arabic_Text,Notes
heart_11,heart,Self-Worth,"Do you constantly feel the need to prove your worth to others?",,
heart_12,heart,Self-Admiration,"Do you experience frequent self-admiration or thoughts of superiority?",,
heart_13,heart,Judgment,"Do you often find yourself judging the intentions or sincerity of others?",,
heart_14,heart,Lack of Compassion,"Do you struggle to show empathy or compassion for those who are suffering?",,
heart_15,heart,Lack of Compassion,"Do you feel annoyed or disconnected when others talk about emotional or spiritual struggles?",,
heart_16,heart,Material Pride,"Do you value yourself more than others because of your wealth, intelligence, or appearance?",,
heart_17,heart,Misplaced Priorities,"Do you fear losing status, control, or praise more than you fear losing spiritual sincerity?",,
heart_18,heart,People-Pleasing,"Do you often think about how others perceive you rather than how Allah sees you?",,
heart_19,heart,Spiritual Envy,"Do you feel frustrated when others achieve spiritual or personal growth before you?",,
heart_20,heart,Lack of Self-Reflection,"Do you neglect to reflect on your intentions before performing good actions?",,
