challenge_id,category,subcategory,duration_days,difficulty,title_en,description_en,title_ar,description_ar,title_fr,description_fr
challenge-ears-defend-02,ears,failing_to_defend,3,medium,Voice of Honour – 3 Days,Speak up kindly whenever you witness someone being verbally diminished.,صوت الشرف - 3 أيام,لمدة 3 أيام، كن صوتاً للشرف والدفاع عن الغائبين.,Voix d'honneur - 3 jours,"Pendant 3 jours, soyez une voix d'honneur et défendez les absents."
challenge-ears-defend-03,ears,failing_to_defend,14,hard,14-Day Honour Defender,Actively defend the dignity of others — especially the absent — for 2 full weeks.,مدافع الشرف لمدة 14 يوماً,لمدة أسبوعين، كن مدافعاً ثابتاً عن شرف الآخرين.,Défenseur d'honneur de 14 jours,"Pendant deux semaines, soyez un défenseur constant de l'honneur des autres."
challenge-ears-beneficial-01,ears,neglecting_beneficial_speech,1,easy,"One Hadith, One Reflection",Listen to one hadith or Qur'anic audio today and reflect on it.,حديث واحد، تأمل واحد,اليوم، استمع إلى حديث واحد وتأمل في معناه.,"Un hadith, une réflexion","Aujourd'hui, écoutez un hadith et réfléchissez à sa signification."
challenge-ears-beneficial-02,ears,neglecting_beneficial_speech,7,medium,7-Day Wisdom Feed,"For a week, listen to beneficial Islamic content — avoid everything else during that time.",تغذية الحكمة لمدة 7 أيام,لمدة أسبوع، استمع يومياً إلى محتوى إسلامي مفيد.,Alimentation de sagesse de 7 jours,"Pendant une semaine, écoutez quotidiennement du contenu islamique utile."
challenge-ears-beneficial-03,ears,neglecting_beneficial_speech,14,hard,14-Day Learning Audio Habit,Replace idle listening with Islamic podcasts or Qur'an recitation for 14 days.,عادة التعلم الصوتي لمدة 14 يوماً,لمدة أسبوعين، اجعل الاستماع للعلم النافع عادة يومية.,Habitude d'apprentissage audio de 14 jours,"Pendant deux semaines, faites de l'écoute de la connaissance utile une habitude quotidienne."
challenge-eyes-lustful-01,eyes,lustful_gaze,1,easy,Lower Your Gaze Challenge,Avoid looking at anyone or anything immodest today. Practise intentional lowering of the gaze.,غض البصر لمدة يوم واحد,اليوم، اغضض بصرك فور رؤية أي شيء حرام. لا تنظر مرة ثانية.,Baisser le regard pour un jour,"Aujourd'hui, baissez votre regard dès que vous voyez quelque chose d'illicite. Ne regardez pas une seconde fois."
challenge-eyes-lustful-02,eyes,lustful_gaze,7,medium,Lust-Free Vision – 7 Days,"Be mindful of desire in your gaze. Lower your eyes instantly upon temptation, for a full week.",أسبوع غض البصر,لمدة 7 أيام، مارس غض البصر عن كل ما هو حرام باستمرار.,Semaine de baissement du regard,"Pendant 7 jours, pratiquez constamment le fait de baisser le regard de tout ce qui est illicite."
challenge-eyes-lustful-03,eyes,lustful_gaze,14,hard,14 Days of Gaze Purity,Avoid all lustful looking — in real life or online. Reflect daily on self-control and dignity.,14 يوماً من تطهير النظر,لمدة أسبوعين، تجنب النظر إلى أي محتوى يثير الشهوة.,14 jours de purification du regard,"Pendant deux semaines, évitez de regarder tout contenu qui éveille la luxure."
challenge-eyes-prolonged-01,eyes,prolonged_gaze,1,easy,Catch Yourself Staring,"If you catch yourself staring, gently blink and look away. Practise this 5 times today.",تجنب النظر الطويل,اليوم، تجنب النظر الطويل إلى الأشخاص. انظر واصرف بصرك.,Éviter le regard prolongé,"Aujourd'hui, évitez de regarder longuement les gens. Regardez et détournez votre regard."
challenge-eyes-prolonged-02,eyes,prolonged_gaze,7,medium,Respectful Eyes – 7 Days,"For one week, train yourself to keep your gaze respectful, calm, and brief.",أسبوع من النظر المحترم,لمدة 7 أيام، تدرب على النظر المحترم والمناسب فقط.,Semaine de regard respectueux,"Pendant 7 jours, pratiquez seulement un regard respectueux et approprié."
challenge-eyes-prolonged-03,eyes,prolonged_gaze,14,hard,14-Day Gaze Discipline,Avoid lingering looks. Respond to every temptation by remembering Allah.,14 يوماً من انضباط النظر,لمدة أسبوعين، اتقن فن النظر المحترم والمناسب.,14 jours de discipline du regard,"Pendant deux semaines, maîtrisez l'art du regard respectueux et approprié."
challenge-eyes-images-01,eyes,prohibited_images,1,easy,One Day Screen Filter,"No inappropriate images today — no scrolling, no media, no excuses.",يوم بلا صور محرمة,اليوم، تجنب النظر إلى أي صور أو مقاطع فيديو غير لائقة.,Jour sans images interdites,"Aujourd'hui, évitez de regarder des images ou vidéos inappropriées."
challenge-eyes-images-02,eyes,prohibited_images,7,medium,7-Day Visual Detox,"Avoid social media, movies, or ads that display indecency or glamorise sin.",تطهير بصري لمدة 7 أيام,تجنب وسائل التواصل الاجتماعي أو الأفلام أو الإعلانات التي تعرض الفحش أو تمجد الخطيئة.,Désintoxication visuelle de 7 jours,"Évitez les médias sociaux, les films ou les publicités qui affichent l'indécence ou glorifient le péché."
challenge-eyes-images-03,eyes,prohibited_images,14,hard,14-Day Purity Media Fast,"For 2 weeks, actively avoid all exposure to haram visual content.",صوم وسائل الإعلام المطهرة لمدة 14 يوماً,لمدة أسبوعين، تجنب بنشاط كل تعرض للمحتوى البصري الحرام.,Jeûne médiatique de pureté de 14 jours,"Pendant 2 semaines, évitez activement toute exposition au contenu visuel haram."
challenge-eyes-judging-01,eyes,judging_by_appearance,1,easy,Look With Mercy,"Today, when you look at someone, ask: 'How does Allah see them?' Not 'How do I?'",انظر برحمة,اليوم، عندما تنظر إلى شخص، اسأل: 'كيف يراهم الله؟' وليس 'كيف أراهم أنا؟',Regardez avec miséricorde,"Aujourd'hui, quand vous regardez quelqu'un, demandez: 'Comment Allah les voit-Il?' Pas 'Comment je les vois?'"
challenge-eyes-judging-02,eyes,judging_by_appearance,7,medium,7 Days of Inner Vision,"Avoid judging anyone based on clothes, face, or body. See the soul, not the shell.",7 أيام من الرؤية الداخلية,تجنب الحكم على أي شخص بناءً على الملابس أو الوجه أو الجسم. انظر إلى الروح، وليس القشرة.,7 jours de vision intérieure,"Évitez de juger quelqu'un basé sur les vêtements, le visage ou le corps. Voyez l'âme, pas l'enveloppe."
challenge-eyes-judging-03,eyes,judging_by_appearance,14,hard,2 Weeks of Dignified Gaze,Practice humility: speak kindly to anyone you might normally overlook.,أسبوعان من النظر الكريم,لمدة أسبوعين، تدرب على النظر إلى الناس بكرامة واحترام.,2 semaines de regard digne,"Pendant deux semaines, pratiquez regarder les gens avec dignité et respect."
challenge-eyes-envy-01,eyes,visual_envy,1,easy,Scroll Without Jealousy,"Today, browse mindfully — no comparison, no envy. Celebrate others' blessings.",تصفح بلا حسد,اليوم، تصفح وسائل التواصل دون أن تشعر بالحسد. احمد الله على نعمه.,Naviguer sans jalousie,"Aujourd'hui, naviguez sur les réseaux sociaux sans ressentir de jalousie. Remerciez Allah pour Ses bienfaits."
challenge-eyes-envy-02,eyes,visual_envy,7,medium,7 Days Without Comparison,"For one week, if you feel envy rise, say a du'a of blessing for the other person.",7 أيام بلا مقارنة,لمدة أسبوع، تجنب مقارنة نفسك بالآخرين بصرياً.,7 jours sans comparaison,"Pendant une semaine, évitez de vous comparer visuellement aux autres."
challenge-eyes-envy-03,eyes,visual_envy,14,hard,14-Day Comparison Cleanse,Avoid all comparing your life to others' images. Focus on gratitude and self-worth.,تطهير المقارنة لمدة 14 يوماً,لمدة أسبوعين، تدرب على الامتنان بدلاً من المقارنة.,Nettoyage de comparaison de 14 jours,"Pendant deux semaines, pratiquez la gratitude au lieu de la comparaison."
challenge-eyes-staring-01,eyes,staring,1,easy,Polite Eyes Challenge,Make people feel respected by avoiding intense staring. Practise 5 mindful interactions.,تحدي العيون المؤدبة,اليوم، تجنب التحديق في الناس. انظر بأدب واحترام.,Défi des yeux polis,"Aujourd'hui, évitez de fixer les gens. Regardez avec politesse et respect."
challenge-eyes-staring-02,eyes,staring,7,medium,Stare-Free Week,"Rein in your gaze for 7 days — especially in shops, queues, and online.",أسبوع بلا تحديق,لمدة 7 أيام، تدرب على النظر المحترم دون تحديق.,Semaine sans fixation,"Pendant 7 jours, pratiquez le regard respectueux sans fixer."
challenge-eyes-staring-03,eyes,staring,14,hard,Respect the Space of Others,Go 14 days without letting your eyes linger where they are not welcome.,احترم مساحة الآخرين,لمدة أسبوعين، احترم الحدود البصرية للآخرين.,Respecter l'espace des autres,"Pendant deux semaines, respectez les limites visuelles des autres."
challenge-eyes-prayer-01,eyes,inattentiveness_in_prayer,1,easy,One Focused Prayer,"Today, try to complete one full prayer without looking around once.",صلاة واحدة مركزة,اليوم، صل صلاة واحدة بتركيز كامل، غاضاً بصرك عن كل ما يلهي.,Une prière concentrée,"Aujourd'hui, priez une prière avec une concentration totale, en détournant votre regard de toute distraction."
challenge-eyes-prayer-02,eyes,inattentiveness_in_prayer,7,medium,Prayer Eye Control – 7 Days,Train yourself to keep your eyes in sujood. Lower your gaze in every prayer for 7 days.,ضبط العين في الصلاة - 7 أيام,لمدة 7 أيام، تدرب على التركيز البصري في كل صلاة.,Contrôle des yeux en prière - 7 jours,"Pendant 7 jours, pratiquez la concentration visuelle dans chaque prière."
challenge-eyes-prayer-03,eyes,inattentiveness_in_prayer,14,hard,14-Day Salah Gaze Discipline,"For 2 weeks, guard your gaze during salah. Let your eyes lead your heart to humility.",14 يوماً من انضباط النظر في الصلاة,لمدة أسبوعين، اتقن التركيز البصري في الصلاة.,14 jours de discipline du regard en prière,"Pendant deux semaines, maîtrisez la concentration visuelle en prière."
challenge-heart-envy-01,heart,envy,1,easy,Make Du'a for the Blessed,"Today, make a heartfelt du'a for someone who has what you desire. Ask Allah to bless them more.",ادع للمبارك,اليوم، ادع دعاء صادق لشخص يملك ما ترغب فيه. اطلب من الله أن يبارك له أكثر.,Faire du'a pour les bénis,"Aujourd'hui, faites une du'a sincère pour quelqu'un qui a ce que vous désirez. Demandez à Allah de les bénir davantage."
challenge-heart-envy-02,heart,envy,3,medium,Gratitude Over Comparison – 3 Days,"Each day, list 3 things you have that you would never trade. Say Alhamdulillah sincerely.",الشكر بدلاً من المقارنة – 3 أيام,كل يوم، اذكر 3 أشياء تملكها ولن تتاجر بها أبداً. قل الحمد لله بصدق.,Gratitude plutôt que comparaison – 3 jours,"Chaque jour, listez 3 choses que vous avez et que vous n'échangeriez jamais. Dites Alhamdulillah sincèrement."
challenge-heart-envy-03,heart,envy,7,medium,7-Day Envy Cleanse,"For one week, replace every jealous thought with a praise of Allah or positive prayer.",تطهير الحسد لمدة 7 أيام,لمدة أسبوع، استبدل كل فكرة حسد بحمد الله أو دعاء إيجابي.,Nettoyage de l'envie de 7 jours,"Pendant une semaine, remplacez chaque pensée jalouse par une louange d'Allah ou une prière positive."
challenge-heart-pride-01,heart,pride,1,easy,Recall Your Origin,"Today, reflect on your creation and ultimate return. Remember your place before Allah.",تذكر أصلك,اليوم، تأمل في خلقك وعودتك الأخيرة. تذكر مكانتك أمام الله.,Rappelez-vous votre origine,"Aujourd'hui, réfléchissez à votre création et à votre retour ultime. Souvenez-vous de votre place devant Allah."
challenge-heart-pride-02,heart,pride,3,medium,Serve Someone Silently – 3 Days,Do something humble and unnoticed each day. Let it break your ego softly.,خدمة شخص بصمت – 3 أيام,افعل شيئاً متواضعاً وغير ملحوظ كل يوم. دعه يكسر غرورك برفق.,Servir quelqu'un en silence – 3 jours,Faites quelque chose d'humble et d'inaperçu chaque jour. Laissez cela briser votre ego doucement.
challenge-heart-pride-03,heart,pride,7,medium,7 Days of Sincere Equality,"For 7 days, treat everyone as better than yourself — inwardly and outwardly.",7 أيام من المساواة الصادقة,لمدة 7 أيام، تعامل مع الجميع كأنهم أفضل منك — داخلياً وخارجياً.,7 jours d'égalité sincère,"Pendant 7 jours, traitez tout le monde comme s'il était meilleur que vous — intérieurement et extérieurement."
challenge-heart-rancour-01,heart,rancour,1,easy,Let One Grudge Go,"Think of someone who hurt you. Say 'I forgive them' for Allah's sake, even silently.",اتركوا ضغينة واحدة,فكر في شخص آذاك. قل 'أسامحهم' لله، حتى لو كان في صمت.,Laissez partir une rancune,"Pensez à quelqu'un qui vous a fait du mal. Dites 'Je lui pardonne' pour Allah, même silencieusement."
challenge-heart-rancour-02,heart,rancour,3,medium,Du'a for the Difficult One – 3 Days,"Each day, make a short du'a for someone you dislike or avoid. Ask for their good.",دعاء للشخص الصعب - 3 أيام,كل يوم، ادع دعاء قصير لشخص لا تحبه أو تتجنبه. اطلب الخير له.,Du'a pour la personne difficile - 3 jours,"Chaque jour, faites une courte du'a pour quelqu'un que vous n'aimez pas ou évitez. Demandez leur bien."
challenge-heart-rancour-03,heart,rancour,7,hard,7-Day Grudge Cleanse,"Let go of resentment. For a week, avoid rethinking past pain. Forgive. Move forward.",تطهير الضغينة لمدة 7 أيام,لمدة أسبوع، تدرب على التسامح وتطهير قلبك من الضغائن.,Nettoyage de rancune de 7 jours,"Pendant une semaine, pratiquez le pardon et purifiez votre cœur des rancunes."
challenge-heart-empathy-01,heart,lack_of_empathy,1,easy,Call or Check on One Person,"Today, reach out to someone who may be lonely, sick, or struggling.",اتصل أو اطمئن على شخص واحد,تواصل مع شخص لم تتحدث معه منذ فترة واطمئن عليه.,Appelez ou prenez des nouvelles d'une personne,Contactez quelqu'un avec qui vous n'avez pas parlé depuis longtemps et prenez de ses nouvelles.
challenge-heart-empathy-02,heart,lack_of_empathy,3,medium,3-Day Mercy Lens,"For 3 days, try to see everyone through the lens of mercy. Assume they're fighting battles.",عدسة الرحمة - 3 أيام,لمدة 3 أيام، انظر إلى كل شخص بعين الرحمة والتفهم.,Lentille de miséricorde - 3 jours,"Pendant 3 jours, regardez chaque personne avec miséricorde et compréhension."
challenge-heart-empathy-03,heart,lack_of_empathy,7,medium,7-Day Compassion Practice,Actively help or show empathy to someone new each day. Journal what you felt.,ممارسة الرحمة لمدة 7 أيام,ساعد أو أظهر التعاطف مع شخص جديد كل يوم. اكتب ما شعرت به.,Pratique de compassion de 7 jours,Aidez activement ou montrez de l'empathie envers quelqu'un de nouveau chaque jour. Notez ce que vous avez ressenti.
challenge-heart-riya-01,heart,insincerity,1,easy,Hide a Good Deed,"Today, do something purely for Allah that no one knows about. Keep it secret.",اخف عملاً صالحاً,اليوم، افعل شيئاً خالصاً لله لا يعرفه أحد. احتفظ بسريته.,Cacher une bonne action,"Aujourd'hui, faites quelque chose purement pour Allah que personne ne connaît. Gardez-le secret."
challenge-heart-riya-02,heart,insincerity,3,medium,Du'a Before Deeds – 3 Days,Make intention and du'a for sincerity before each act of worship for 3 days.,دعاء قبل الأعمال - 3 أيام,اجعل النية والدعاء للإخلاص قبل كل عمل عبادة لمدة 3 أيام.,Du'a avant les actes - 3 jours,Faites l'intention et la du'a pour la sincérité avant chaque acte d'adoration pendant 3 jours.
challenge-heart-riya-03,heart,insincerity,7,medium,7 Days of Purified Intention,"Say 'This is for You, O Allah' before every public or visible action for one week.",7 أيام من النية المطهرة,قل 'هذا لك يا الله' قبل كل عمل عام أو مرئي لمدة أسبوع.,7 jours d'intention purifiée,"Dites 'C'est pour Vous, ô Allah' avant chaque action publique ou visible pendant une semaine."
challenge-heart-despair-01,heart,despair,1,easy,Read One Ayah of Mercy,"Today, read and reflect on an ayah that promises Allah's forgiveness. Let it enter your heart.",اقرأ آية رحمة واحدة,اقرأ آية واحدة عن رحمة الله. تأمل في معناها وتذكر أن الله غفور رحيم.,Lire un verset de miséricorde,Lisez un verset sur la miséricorde d'Allah. Réfléchissez à sa signification et rappelez-vous qu'Allah est Pardonneur et Miséricordieux.
challenge-heart-despair-02,heart,despair,3,medium,Du'a of Hope – 3 Days,"Each day, say: 'Ya Allah, I believe You love to forgive, so forgive me.' Say it with hope.",دعاء الأمل - 3 أيام,لمدة 3 أيام، ادع دعاء الأمل والتوبة كل صباح.,Du'a d'espoir - 3 jours,"Pendant 3 jours, faites une du'a d'espoir et de repentir chaque matin."
challenge-heart-despair-03,heart,despair,7,medium,7 Days of Hope Practice,"Reject despair for one week. Anytime doubt arises, counter it with a promise of Allah.",7 أيام من ممارسة الأمل,لمدة أسبوع، اذكر نفسك يومياً بأن الله يحب التوابين.,7 jours de pratique d'espoir,"Pendant une semaine, rappelez-vous quotidiennement qu'Allah aime ceux qui se repentent."
challenge-heart-hereafter-01,heart,neglect_of_hereafter,1,easy,Reflect on Death,Take 2 minutes today to imagine your grave and your meeting with Allah.,تأمل في الموت,اقض 10 دقائق في تذكر الموت والآخرة. كيف سيؤثر ذلك على أولوياتك؟,Réfléchir à la mort,Passez 10 minutes à vous rappeler la mort et l'au-delà. Comment cela affectera-t-il vos priorités?
challenge-heart-hereafter-02,heart,neglect_of_hereafter,3,medium,3-Day Akhirah Focus,"Each day, read one ayah or hadith about the Hereafter and reflect deeply.",تركيز الآخرة لمدة 3 أيام,لمدة 3 أيام، اسأل نفسك: 'هل هذا ينفعني في الآخرة؟' قبل كل قرار.,Focus sur l'au-delà - 3 jours,"Pendant 3 jours, demandez-vous: 'Est-ce que cela me profite dans l'au-delà?' avant chaque décision."
challenge-heart-hereafter-03,heart,neglect_of_hereafter,7,medium,7-Day Death Awareness Practice,"For one week, remind yourself of the Hereafter before each major decision.",7 أيام من ممارسة الوعي بالموت,لمدة أسبوع، اجعل تذكر الموت جزءاً من روتينك اليومي.,7 jours de pratique de conscience de la mort,"Pendant une semaine, faites du rappel de la mort une partie de votre routine quotidienne."
challenge-pride-religious-01,nose,religious_arrogance,1,easy,Worship Without Comparison,"Today, do not compare your worship or knowledge to anyone else's. Focus inward only.",العبادة بدون مقارنة,اليوم، لا تقارن عبادتك أو علمك بأي شخص آخر. ركز على الداخل فقط.,Adoration sans comparaison,"Aujourd'hui, ne comparez pas votre adoration ou vos connaissances à celles des autres. Concentrez-vous uniquement vers l'intérieur."
challenge-pride-religious-02,nose,religious_arrogance,3,medium,Hidden Deeds – 3 Days,Do one good deed each day in complete secrecy. Tell no one. Not even in hint.,أعمال خفية – 3 أيام,افعل عملاً صالحاً كل يوم في سرية تامة. لا تخبر أحداً. حتى لو بتلميح.,Bonnes actions cachées – 3 jours,Faites une bonne action chaque jour en secret complet. Ne le dites à personne. Même pas par allusion.
challenge-pride-religious-03,nose,religious_arrogance,7,medium,7 Days of Sincere Humility,"For one week, focus on your flaws during worship. Reflect on how far you are from Allah.",7 أيام من التواضع الصادق,لمدة أسبوع، تدرب على التواضع الحقيقي في أمور الدين.,7 jours d'humilité sincère,"Pendant une semaine, pratiquez l'humilité véritable dans les affaires religieuses."
challenge-pride-social-01,nose,social_superiority,1,easy,Greet Everyone First,Greet people today regardless of status — from cleaner to executive — equally and sincerely.,سلم على الجميع أولاً,سلم على الناس اليوم بغض النظر عن المكانة — من عامل النظافة إلى المدير التنفيذي — بشكل متساوٍ وبصدق.,Saluez tout le monde en premier,Saluez les gens aujourd'hui quel que soit leur statut — du nettoyeur au cadre — de manière égale et sincère.
challenge-pride-social-02,nose,social_superiority,1,easy,Eat with the 'Lowly',Sit or eat with someone you might subconsciously look down on. Do it with joy and love.,كل مع 'المتواضعين',اجلس أو تناول الطعام مع شخص قد تنظر إليه بتعالٍ لاشعوري. افعل ذلك بفرح ومحبة.,Mangez avec les 'humbles',Asseyez-vous ou mangez avec quelqu'un que vous pourriez inconsciemment mépriser. Faites-le avec joie et amour.
challenge-pride-social-03,nose,social_superiority,14,hard,14-Day Superiority Cleanse,Avoid all thoughts or speech that imply you're better than anyone — for two full weeks.,تطهير التفوق لمدة 14 يوماً,لمدة أسبوعين، تخلص من مشاعر التفوق على الآخرين.,Nettoyage de supériorité de 14 jours,"Pendant deux semaines, éliminez les sentiments de supériorité sur les autres."
challenge-pride-appearance-01,nose,appearance_pride,1,easy,No Mirror Praise,Do not admire yourself in a mirror or selfie today. Say 'Allahumma kama hassanta khalqi…',لا مدح أمام المرآة,لا تُعجب بنفسك في المرآة أو السيلفي اليوم. قل 'اللهم كما حسنت خلقي…',Pas d'éloge devant le miroir,Ne vous admirez pas dans un miroir ou un selfie aujourd'hui. Dites 'Allahumma kama hassanta khalqi…'
challenge-pride-appearance-02,nose,appearance_pride,3,medium,Dress Simply – 3 Days,"Wear something modest and simple — not for others, but to purify your intent.",البساطة في الزي - 3 أيام,لمدة 3 أيام، اختر الملابس البسيطة وتجنب التفاخر.,Simplicité vestimentaire - 3 jours,"Pendant 3 jours, choisissez des vêtements simples et évitez l'ostentation."
challenge-pride-appearance-03,nose,appearance_pride,7,medium,7-Day Vanity Cleanse,"Avoid all vanity-related actions or thoughts — beauty, clothes, or strength — for 7 days.",تطهير الغرور لمدة 7 أيام,لمدة أسبوع، تخلص من الغرور والاهتمام المفرط بالمظهر.,Nettoyage de vanité de 7 jours,"Pendant une semaine, éliminez la vanité et l'attention excessive à l'apparence."
challenge-pride-advice-01,nose,refusing_advice,1,easy,Accept One Correction,"Today, if someone corrects you — even if harsh — take it gently. Say thank you.",تقبل تصحيح واحد,اليوم، تقبل نصيحة أو تصحيح من شخص بصدر رحب.,Accepter une correction,"Aujourd'hui, acceptez un conseil ou une correction de quelqu'un avec ouverture d'esprit."
challenge-pride-advice-02,nose,refusing_advice,3,medium,Ask for Feedback – 3 Days,"Ask someone you trust for sincere advice, and receive it silently. Reflect deeply.",اطلب التغذية الراجعة - 3 أيام,اطلب نصيحة أو تغذية راجعة من شخص تثق به.,Demandez des commentaires - 3 jours,Demandez conseil ou feedback à quelqu'un en qui vous avez confiance.
challenge-pride-advice-03,nose,refusing_advice,7,hard,7-Day Openness to Correction,"Each day, welcome advice. Keep a journal of what you hear without justifying yourself.",7 أيام من الانفتاح على التصحيح,لمدة أسبوع، كن منفتحاً على النقد البناء والتصحيح.,7 jours d'ouverture à la correction,"Pendant une semaine, soyez ouvert à la critique constructive et à la correction."
challenge-pride-apologise-01,nose,refusing_to_apologise,1,easy,One Sincere Apology,Find someone you've wronged — however small — and apologise with sincerity.,اعتذار صادق واحد,اليوم، قدم اعتذاراً صادقاً لشخص أخطأت في حقه.,Une excuse sincère,"Aujourd'hui, présentez des excuses sincères à quelqu'un envers qui vous avez eu tort."
challenge-pride-apologise-02,nose,refusing_to_apologise,3,medium,3 Days of Softness,"If you're confronted, respond without ego. Apologise even when it stings.",3 أيام من الرقة,لمدة 3 أيام، تعامل مع الجميع برقة وتواضع.,3 jours de douceur,"Pendant 3 jours, traitez tout le monde avec douceur et humilité."
